source,sheet,ID,المجال,المهارة,وصف المعيار,Assessment Question,Expected Development,Importance,Reference,معرف النشاط,اسم النشاط,العمر,المهارة المستهدفة,الهدف,وصف النشاط,الأدوات,المدة,التكرار,مستوى الصعوبة,تعليمات لولي الأمر,النتيجة المتوقعة,المرجع,معرف القاعدة,شرط التقييم,مستوى الشدة,توصية الذكاء الاصطناعي,الأنشطة المقترحة,المتابعة,الإحالة إلى أخصائي,الحقل,القيمة / الوصف,اليوم,رقم النشاط,تم التنفيذ,رقم القالب,الحالة,النص,معرف السؤال,السؤال,نوع الإجابة,الدرجة (نعم),الدرجة (لا),مرتبط بالمعيار,مرتبط بقاعدة القرار,ملاحظات
KB01.xlsx,Age 3,RL016,اللغة الاستقبالية,فهم الضد,يبدأ بتمييز المفاهيم المتضادة.,هل يفهم طويل وقصير؟,يميز بعض الأضداد.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL017,اللغة الاستقبالية,التعرف على الأصوات,يميز أصواتًا مألوفة.,هل يميز أصوات الحيوانات أو المركبات؟,يتعرف على الأصوات.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL018,اللغة الاستقبالية,اتباع تعليمات الروضة,يتبع تعليمات المعلمة البسيطة.,هل يتبع تعليمات جماعية؟,يستجيب بشكل مناسب.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL019,اللغة الاستقبالية,الاستجابة للأسئلة اليومية,يجيب أو يستجيب لأسئلة الحياة اليومية.,هل يستجيب لأسئلة الروتين؟,يفهم الأسئلة الشائعة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL020,اللغة الاستقبالية,فهم المحادثات القصيرة,يفهم مضمون محادثة قصيرة.,هل يفهم حديثًا قصيرًا بين شخصين؟,يفهم الفكرة العامة.,أساسي,"ASHA, NIDCD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL001,اللغة التعبيرية,استخدام جمل من 3-4 كلمات,يعبر بجمل قصيرة مناسبة لعمره.,هل يستخدم جملًا من 3 إلى 4 كلمات؟,يستخدم جملًا قصيرة بانتظام.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL002,اللغة التعبيرية,زيادة المفردات,تزداد حصيلته اللغوية باستمرار.,هل يكتسب كلمات جديدة أسبوعيًا؟,يزداد عدد المفردات تدريجيًا.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL003,اللغة التعبيرية,وصف الأشياء,يصف اللون أو الحجم أو الوظيفة.,هل يستطيع وصف الأشياء البسيطة؟,يستخدم صفات بسيطة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL004,اللغة التعبيرية,ذكر الاسم الكامل,يذكر اسمه عند السؤال.,هل يذكر اسمه؟,يجيب باسمه.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL005,اللغة التعبيرية,ذكر العمر,يعبر عن عمره بالكلام.,هل يستطيع قول عمره؟,يعرف عمره.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL006,اللغة التعبيرية,استخدام الضمائر,يستخدم أنا، أنت، هو بشكل مناسب.,هل يستخدم الضمائر؟,يستخدمها غالبًا بشكل صحيح.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL007,اللغة التعبيرية,استخدام الأفعال,يستخدم أفعالًا متنوعة.,هل يستخدم أفعالًا مثل يلعب ويأكل؟,يعبر بالأفعال اليومية.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL008,اللغة التعبيرية,الإجابة بجملة,يجيب بجملة قصيرة بدل كلمة واحدة.,هل يجيب بجملة قصيرة؟,يعطي إجابات مفهومة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL009,اللغة التعبيرية,طرح أسئلة بسيطة,يسأل ماذا أو أين.,هل يطرح أسئلة بسيطة؟,يبادر بالأسئلة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL010,اللغة التعبيرية,التعبير عن الاحتياجات,يعبر لفظيًا عن احتياجاته.,هل يطلب ما يحتاجه بالكلام؟,يعبر بوضوح.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL011,اللغة التعبيرية,التحدث أثناء اللعب,يستخدم اللغة في اللعب.,هل يتحدث أثناء اللعب؟,يتواصل مع الآخرين.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL012,اللغة التعبيرية,وصف الصور,يصف ما يراه في صورة.,هل يصف الصور؟,يستخدم جملًا بسيطة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL013,اللغة التعبيرية,التعبير عن المشاعر,يعبر عن الفرح أو الحزن.,هل يخبرك كيف يشعر؟,يستخدم كلمات للمشاعر.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL014,اللغة التعبيرية,تسمية الألوان,يسمي الألوان الأساسية.,هل يسمي الألوان؟,يعرف عدة ألوان.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL015,اللغة التعبيرية,تسمية الحيوانات,يسمي الحيوانات المألوفة.,هل يسمي الحيوانات؟,يعرف أسماءها.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL016,اللغة التعبيرية,رواية حدث بسيط,يخبر بما حدث خلال اليوم.,هل يروي حدثًا بسيطًا؟,يروي أحداثًا قصيرة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL017,اللغة التعبيرية,استخدام كلمات المكان,يستخدم فوق وتحت.,هل يستخدم كلمات المكان؟,يعبر بها بشكل صحيح.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL018,اللغة التعبيرية,التعبير عن الاختيار,يذكر ما يفضله.,هل يعبر عن اختياراته؟,يستخدم جملًا بسيطة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL019,اللغة التعبيرية,استخدام مفردات جديدة,يدمج كلمات جديدة في حديثه.,هل يستخدم كلمات جديدة؟,يزداد التنوع اللغوي.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,EL020,اللغة التعبيرية,بدء المحادثة,يبادر ببدء الحديث.,هل يبدأ الحديث مع الآخرين؟,يبادر بالتواصل.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS001,التواصل والمهارات الاجتماعية,بدء المحادثة,يبادر بالتحدث مع الآخرين.,هل يبدأ الحديث من تلقاء نفسه؟,يبادر بالمحادثة في مواقف مألوفة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS002,التواصل والمهارات الاجتماعية,المحافظة على الحوار,يستمر في تبادل الحديث لعدة جمل.,هل يستطيع الاستمرار في محادثة قصيرة؟,يتبادل عدة جمل.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS003,التواصل والمهارات الاجتماعية,التواصل البصري,يحافظ على التواصل البصري أثناء الحديث.,هل يحافظ على التواصل البصري؟,مناسب لعمره.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS004,التواصل والمهارات الاجتماعية,تبادل الأدوار,ينتظر دوره في الحديث أو اللعب.,هل ينتظر دوره؟,يتبادل الأدوار.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS005,التواصل والمهارات الاجتماعية,طلب المساعدة,يطلب المساعدة لفظيًا.,هل يطلب المساعدة عند الحاجة؟,يعبر عن حاجته.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS006,التواصل والمهارات الاجتماعية,التفاعل مع الأطفال,يلعب ويتفاعل مع الأطفال.,هل يتفاعل مع الأطفال الآخرين؟,يشارك في اللعب.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS007,التواصل والمهارات الاجتماعية,التعبير عن المشاعر,يعبر عن مشاعره بكلمات.,هل يخبرك إذا كان سعيدًا أو حزينًا؟,يعبر عن مشاعره.,مهم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS008,التواصل والمهارات الاجتماعية,استخدام عبارات مهذبة,يستخدم كلمات مثل لو سمحت وشكرًا.,هل يستخدم عبارات مهذبة؟,يستخدمها في المواقف اليومية.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS009,التواصل والمهارات الاجتماعية,المشاركة في اللعب التخيلي,يشارك في لعب الأدوار.,هل يشارك في اللعب التخيلي؟,يستخدم اللغة أثناء اللعب.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS010,التواصل والمهارات الاجتماعية,الاستجابة للأسئلة,يستجيب للأسئلة الاجتماعية.,هل يجيب عندما يُسأل؟,يجيب بإجابات مناسبة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS011,التواصل والمهارات الاجتماعية,لفت الانتباه,يجذب انتباه الآخرين بطريقة مناسبة.,هل يحاول جذب انتباهك بالكلام؟,يستخدم التواصل اللفظي.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS012,التواصل والمهارات الاجتماعية,المشاركة بالأفكار,يشارك ما يراه أو يفكر فيه.,هل يخبرك بما يشاهده؟,يبادر بالمشاركة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS013,التواصل والمهارات الاجتماعية,التفاعل مع الأغاني,يشارك في الأغاني والحركات.,هل يشارك في الأغاني؟,يتفاعل مع الأنشطة الجماعية.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS014,التواصل والمهارات الاجتماعية,فهم قواعد اللعب,يتبع قواعد لعب بسيطة.,هل يتبع قواعد اللعبة؟,يلتزم بالتعليمات.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS015,التواصل والمهارات الاجتماعية,التعاون,يتعاون مع الآخرين في نشاط بسيط.,هل يتعاون أثناء اللعب؟,يشارك مع الآخرين.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS016,التواصل والمهارات الاجتماعية,استخدام الإيماءات,يدعم كلامه بالإشارات.,هل يستخدم الإشارة مع الكلام؟,يجمع بين الإشارة والكلام.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS017,التواصل والمهارات الاجتماعية,الاستجابة للنداء,يستجيب عند مناداته.,هل يستجيب عند مناداته؟,يستجيب بسرعة.,أساسي,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS018,التواصل والمهارات الاجتماعية,التعبير عن الرغبات,يعبر عما يريده بوضوح.,هل يخبرك بما يريد؟,يعبر لفظيًا.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS019,التواصل والمهارات الاجتماعية,الاستمتاع بالأنشطة الجماعية,يشارك في الأنشطة الجماعية.,هل يستمتع بالأنشطة الجماعية؟,يشارك مع المجموعة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,CS020,التواصل والمهارات الاجتماعية,الاستماع للآخرين,ينتظر وينصت عندما يتحدث الآخرون.,هل يستمع عندما يتحدث الآخرون؟,يظهر مهارات استماع مناسبة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP001,النطق,وضوح الكلام,ينطق معظم الكلمات بوضوح مناسب لعمره.,هل يستطيع أفراد الأسرة فهم معظم كلامه؟,يمكن فهم معظم كلامه.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP002,النطق,نطق الأصوات الشائعة,ينطق الأصوات المبكرة والمتوسطة بصورة صحيحة.,هل ينطق معظم الأصوات الشائعة بوضوح؟,ينطق أغلبها بشكل صحيح.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP003,النطق,تقليد الكلمات الجديدة,يعيد نطق كلمات جديدة بعد سماعها.,هل يقلد كلمات جديدة؟,يكرر كلمات جديدة بسهولة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP004,النطق,تقليد الجمل القصيرة,يكرر جملًا قصيرة.,هل يستطيع تكرار جملة قصيرة؟,يكررها دون صعوبة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP005,النطق,التحكم بسرعة الكلام,يتحدث بسرعة مناسبة.,هل سرعة كلامه مناسبة؟,سرعة متوازنة.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP006,النطق,استخدام نبرة الصوت,يغير نبرة صوته للتعبير.,هل يستخدم نبرة مختلفة عند السؤال أو التعجب؟,تظهر تنوعًا في النبرة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP007,النطق,تقليل الأخطاء الصوتية,تقل الأخطاء في نطق الكلمات.,هل تقل أخطاء النطق مقارنة بالسابق؟,يتحسن النطق تدريجيًا.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP008,النطق,وضوح الجمل,يمكن فهم الجمل القصيرة بسهولة.,هل يفهم الآخرون جمله؟,معظم الجمل مفهومة.,أساسي,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP009,النطق,التمييز بين الأصوات,يميز أصوات الكلمات المختلفة.,هل يميز بين أصوات متقاربة؟,يبدأ بالتمييز السمعي.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP010,النطق,المشاركة اللفظية,يستخدم الكلام باستمرار أثناء الأنشطة.,هل يتحدث أثناء اللعب والأنشطة؟,يستخدم اللغة تلقائيًا.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP011,النطق,التعبير الصوتي,يعبر بصوته عن الفرح أو الحماس.,هل يغير صوته للتعبير عن المشاعر؟,يعبر صوتيًا.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP012,النطق,إعادة المحاولة,يحاول إعادة نطق الكلمة عند عدم فهمها.,هل يعيد الكلمة إذا لم تُفهم؟,يبذل محاولة للتصحيح.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP013,النطق,التحدث بجمل مفهومة,ينطق جملًا يفهمها معظم الأشخاص.,هل يفهم الأشخاص غير المقربين كلامه غالبًا؟,كلامه مفهوم بدرجة جيدة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP014,النطق,استخدام الصوت للتواصل,يعتمد على الكلام أكثر من الإشارة.,هل يستخدم الكلام للتواصل في أغلب المواقف؟,يعتمد على التواصل اللفظي.,أساسي,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,SP015,النطق,الثقة في التحدث,يتحدث بثقة في المواقف اليومية.,هل يتحدث دون تردد في المواقف المألوفة؟,يتحدث بثقة مناسبة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL001,اللغة التعبيرية,استخدام جمل كاملة,يعبر بجمل كاملة ومترابطة.,هل يستخدم جملًا كاملة عند الحديث؟,يتحدث بجمل واضحة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL002,اللغة التعبيرية,رواية قصة قصيرة,يروي أحداثًا بترتيب منطقي.,هل يستطيع رواية قصة قصيرة؟,يرتب الأحداث بصورة صحيحة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL003,اللغة التعبيرية,وصف الأشخاص,يصف الأشخاص باستخدام صفات بسيطة.,هل يصف الأشخاص؟,يستخدم صفات مناسبة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL004,اللغة التعبيرية,وصف الأماكن,يعبر عن المكان وما يحتويه.,هل يصف مكانًا مألوفًا؟,يستخدم مفردات متنوعة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL005,اللغة التعبيرية,التعبير عن السبب,يشرح سببًا بسيطًا لحدث ما.,هل يجيب عن سؤال لماذا؟,يقدم تفسيرًا بسيطًا.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL006,اللغة التعبيرية,استخدام أزمنة بسيطة,يستخدم الماضي والحاضر بصورة أولية.,هل يستخدم كلمات تدل على الزمن؟,يستخدمها غالبًا بشكل صحيح.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL007,اللغة التعبيرية,استخدام الضمائر,يستخدم الضمائر بشكل صحيح.,هل يستخدم هو، هي، نحن؟,استخدام مناسب.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL008,اللغة التعبيرية,طرح أسئلة متنوعة,يسأل لماذا وكيف ومتى.,هل يطرح أسئلة متنوعة؟,يبادر بالأسئلة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL009,اللغة التعبيرية,التعبير عن المشاعر,يعبر عن مشاعره وأسبابها.,هل يصف شعوره؟,يعبر لفظيًا.,مهم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL010,اللغة التعبيرية,إعطاء تعليمات,يشرح للآخرين كيف يقومون بمهمة بسيطة.,هل يستطيع إعطاء تعليمات؟,يشرح بخطوات بسيطة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL011,اللغة التعبيرية,استخدام مفردات جديدة,يدمج كلمات جديدة في حديثه.,هل يستخدم كلمات جديدة؟,تزداد حصيلته اللغوية.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL012,اللغة التعبيرية,وصف الصور,يصف تفاصيل صورة.,هل يصف ما يراه في صورة؟,يستخدم جملًا متعددة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL013,اللغة التعبيرية,المقارنة بين الأشياء,يقارن بين شيئين.,هل يقارن بين الأشياء؟,يستخدم كلمات المقارنة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL014,اللغة التعبيرية,استخدام كلمات المكان,يستخدم أمام وخلف وبجانب.,هل يستخدم مفاهيم المكان؟,يستخدمها بشكل صحيح.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL015,اللغة التعبيرية,استخدام كلمات الزمن,يستخدم أمس واليوم وغدًا.,هل يستخدم مفاهيم الزمن؟,استخدام مناسب للعمر.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL016,اللغة التعبيرية,التحدث بثقة,يتحدث أمام أفراد الأسرة بثقة.,هل يتحدث دون تردد؟,يعبر بحرية.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL017,اللغة التعبيرية,إعادة سرد قصة,يعيد سرد قصة سمعها.,هل يعيد سرد قصة؟,يحافظ على التسلسل.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL018,اللغة التعبيرية,تسمية الأشكال,يسمي الأشكال الأساسية.,هل يسمي الدائرة والمربع؟,يعرف الأشكال الشائعة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL019,اللغة التعبيرية,التعبير عن الرأي,يعبر عما يفضله ولماذا.,هل يشرح سبب اختياره؟,يقدم سببًا بسيطًا.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,EL020,اللغة التعبيرية,بدء محادثة,يبادر بفتح موضوع جديد.,هل يبدأ الحديث مع الآخرين؟,يبادر بالمحادثة.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL001,اللغة الاستقبالية,تنفيذ تعليمات من ثلاث خطوات,ينفذ تعليمات مكونة من ثلاث خطوات.,هل يستطيع تنفيذ ثلاثة أوامر متتالية؟,ينفذ التعليمات بدقة.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL002,اللغة الاستقبالية,فهم أسئلة لماذا وكيف,يفهم الأسئلة التفسيرية.,هل يفهم أسئلة لماذا وكيف؟,يفهم ويستجيب بصورة مناسبة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL003,اللغة الاستقبالية,فهم القصص الأطول,يتابع قصة متعددة الأحداث.,هل يتابع قصة أطول؟,يفهم الفكرة العامة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL004,اللغة الاستقبالية,فهم التسلسل الزمني,يفهم أولًا ثم ثم أخيرًا.,هل يفهم ترتيب الأحداث؟,يرتب الأحداث.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL005,اللغة الاستقبالية,فهم السبب والنتيجة,يربط السبب بالنتيجة.,هل يفهم سبب حدوث المواقف؟,يقدم تفسيرًا بسيطًا.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL006,اللغة الاستقبالية,فهم مفاهيم الزمن,يفهم أمس واليوم وغدًا.,هل يميز مفاهيم الزمن؟,يفهمها غالبًا.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL007,اللغة الاستقبالية,فهم المقارنة,يميز أكبر وأصغر.,هل يقارن بين الأشياء؟,يقارن بصورة صحيحة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL008,اللغة الاستقبالية,فهم العلاقات المكانية,يفهم أمام وخلف وبجانب.,هل يفهم العلاقات المكانية؟,يستجيب بشكل صحيح.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL009,اللغة الاستقبالية,فهم الكمية,يفهم أكثر وأقل.,هل يميز أكثر وأقل؟,يفهم المفهوم.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL010,اللغة الاستقبالية,اتباع تعليمات الروضة,يتبع التعليمات الجماعية.,هل يتبع تعليمات الفصل؟,يلتزم بالتعليمات.,أساسي,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL011,اللغة الاستقبالية,فهم وصف الأشياء,يتعرف على الشيء من وصفه.,هل يعرف الشيء من وصفه؟,يحدد الشيء الصحيح.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL012,اللغة الاستقبالية,فهم المهن,يعرف المهن ووظائفها.,هل يعرف وظيفة الطبيب؟,يربط المهنة بوظيفتها.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL013,اللغة الاستقبالية,فهم المشاعر,يفهم المشاعر من المواقف.,هل يميز المشاعر؟,يتعرف عليها.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL014,اللغة الاستقبالية,فهم الضمائر,يفهم هو وهي.,هل يفهم الضمائر؟,يستخدمها بصورة صحيحة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL015,اللغة الاستقبالية,فهم الأسئلة المفتوحة,يجيب عن أسئلة تحتاج شرحًا.,هل يجيب بإجابات مفصلة؟,يقدم إجابات مناسبة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL016,اللغة الاستقبالية,التصنيف,يصنف الأشياء.,هل يصنف الأشياء؟,يصنف بدقة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 4,RL017,اللغة الاستقبالية,فهم قواعد اللعب,يفهم تعليمات اللعبة.,هل يفهم قواعد اللعب؟,يلتزم بها.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
